run,step,layer,t,probe_kind,head_type,n_train,n_eval,n_proteins_test,p_at_L_5,p_at_L_2,p_at_L,cath_level,cath_accuracy,cath_macro_f1,cath_top1_conf_mean,cath_n_classes,cath_n_train,cath_n_eval,cath_n_eval_in_vocab,cath_n_eval_oov,if_top1_acc,if_macro_f1,if_n_residues_test,dih_mae_phi_deg,dih_mae_psi_deg,dih_mae_total_deg,dih_n_residues_test,dist_mae_total,dist_mae_short,dist_mae_medium,dist_mae_long,dist_n_pairs_test,dim,ckpt_path,train_manifest,eval_manifest
baseline_128_bs80_step100k,100000,0,1.0,cath,,5000,1237,,,,,C,0.8137472283813747,0.6262042036023956,0.8648267483770798,5,1881,451,451,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128_bs80/checkpoints/chk_epoch=00000076_step=000000100000-EMA.ckpt,train_v1,eval_v1
baseline_128_bs80_step100k,100000,0,1.0,cath,,5000,1237,,,,,A,0.5210643015521065,0.2632056018329376,0.6177772658043806,21,1879,451,451,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128_bs80/checkpoints/chk_epoch=00000076_step=000000100000-EMA.ckpt,train_v1,eval_v1
baseline_128_bs80_step100k,100000,0,1.0,cath,,5000,1237,,,,,T,0.38765432098765434,0.22510641716300872,0.4531923368775358,116,1721,451,405,46,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128_bs80/checkpoints/chk_epoch=00000076_step=000000100000-EMA.ckpt,train_v1,eval_v1
baseline_128_bs80_step100k,100000,0,1.0,inverse_folding,linear,5000,1237,,,,,,,,,,,,,,0.11101134121417999,0.04911649107339555,112484,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128_bs80/checkpoints/chk_epoch=00000076_step=000000100000-EMA.ckpt,train_v1,eval_v1
baseline_128_bs80_step100k,100000,0,1.0,dihedral,linear,5000,1237,,,,,,,,,,,,,,,,,28.107013702392578,47.34328079223633,37.72514724731445,112484,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128_bs80/checkpoints/chk_epoch=00000076_step=000000100000-EMA.ckpt,train_v1,eval_v1
baseline_128_bs80_step100k,100000,1,1.0,cath,,5000,1237,,,,,C,0.8203991130820399,0.6516741758123396,0.879588853460125,5,1881,451,451,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128_bs80/checkpoints/chk_epoch=00000076_step=000000100000-EMA.ckpt,train_v1,eval_v1
baseline_128_bs80_step100k,100000,1,1.0,cath,,5000,1237,,,,,A,0.5565410199556541,0.3235492929939134,0.6435232262664942,21,1879,451,451,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128_bs80/checkpoints/chk_epoch=00000076_step=000000100000-EMA.ckpt,train_v1,eval_v1
baseline_128_bs80_step100k,100000,1,1.0,cath,,5000,1237,,,,,T,0.4345679012345679,0.2663546330687301,0.4945689589794276,116,1721,451,405,46,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128_bs80/checkpoints/chk_epoch=00000076_step=000000100000-EMA.ckpt,train_v1,eval_v1
baseline_128_bs80_step100k,100000,1,1.0,inverse_folding,linear,5000,1237,,,,,,,,,,,,,,0.11458518356084824,0.0532672857035195,112484,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128_bs80/checkpoints/chk_epoch=00000076_step=000000100000-EMA.ckpt,train_v1,eval_v1
baseline_128_bs80_step100k,100000,1,1.0,dihedral,linear,5000,1237,,,,,,,,,,,,,,,,,27.38712501525879,42.72779083251953,35.05745792388916,112484,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128_bs80/checkpoints/chk_epoch=00000076_step=000000100000-EMA.ckpt,train_v1,eval_v1
baseline_128_bs80_step100k,100000,2,1.0,cath,,5000,1237,,,,,C,0.8226164079822617,0.6694812282755407,0.885900816578223,5,1881,451,451,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128_bs80/checkpoints/chk_epoch=00000076_step=000000100000-EMA.ckpt,train_v1,eval_v1
baseline_128_bs80_step100k,100000,4,1.0,cath,,5000,1237,,,,,T,0.43950617283950616,0.28256905645564123,0.5470503257792657,116,1721,451,405,46,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128_bs80/checkpoints/chk_epoch=00000076_step=000000100000-EMA.ckpt,train_v1,eval_v1
baseline_128_bs80_step100k,100000,4,1.0,inverse_folding,linear,5000,1237,,,,,,,,,,,,,,0.11198925971984863,0.043020933239565226,112484,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128_bs80/checkpoints/chk_epoch=00000076_step=000000100000-EMA.ckpt,train_v1,eval_v1
baseline_128_bs80_step100k,100000,4,1.0,dihedral,linear,5000,1237,,,,,,,,,,,,,,,,,30.7467098236084,44.654083251953125,37.70039653778076,112484,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128_bs80/checkpoints/chk_epoch=00000076_step=000000100000-EMA.ckpt,train_v1,eval_v1
baseline_128_bs80_step100k,100000,5,1.0,cath,,5000,1237,,,,,C,0.8048780487804879,0.6317323939676881,0.8852034630908987,5,1881,451,451,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128_bs80/checkpoints/chk_epoch=00000076_step=000000100000-EMA.ckpt,train_v1,eval_v1
baseline_128_bs80_step100k,100000,5,1.0,cath,,5000,1237,,,,,A,0.5277161862527716,0.29298475964322684,0.666196144034001,21,1879,451,451,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128_bs80/checkpoints/chk_epoch=00000076_step=000000100000-EMA.ckpt,train_v1,eval_v1
baseline_128_bs80_step100k,100000,5,1.0,cath,,5000,1237,,,,,T,0.4222222222222222,0.28274885023399,0.5209414340964497,116,1721,451,405,46,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128_bs80/checkpoints/chk_epoch=00000076_step=000000100000-EMA.ckpt,train_v1,eval_v1
baseline_128_bs80_step100k,100000,5,1.0,inverse_folding,linear,5000,1237,,,,,,,,,,,,,,0.10891326516866684,0.04494862297779094,112484,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128_bs80/checkpoints/chk_epoch=00000076_step=000000100000-EMA.ckpt,train_v1,eval_v1
baseline_128_bs80_step100k,100000,5,1.0,dihedral,linear,5000,1237,,,,,,,,,,,,,,,,,31.84711265563965,45.784976959228516,38.81604480743408,112484,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128_bs80/checkpoints/chk_epoch=00000076_step=000000100000-EMA.ckpt,train_v1,eval_v1
baseline_128_bs80_step100k,100000,6,1.0,cath,,5000,1237,,,,,C,0.802660753880266,0.6338251570661183,0.8935102097700192,5,1881,451,451,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128_bs80/checkpoints/chk_epoch=00000076_step=000000100000-EMA.ckpt,train_v1,eval_v1
baseline_128_bs80_step100k,100000,6,1.0,cath,,5000,1237,,,,,A,0.5099778270509978,0.2588407886156801,0.6287094484525065,21,1879,451,451,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128_bs80/checkpoints/chk_epoch=00000076_step=000000100000-EMA.ckpt,train_v1,eval_v1
baseline_128_bs80_step100k,100000,6,1.0,cath,,5000,1237,,,,,T,0.4049382716049383,0.24962350413829404,0.49803947092255013,116,1721,451,405,46,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128_bs80/checkpoints/chk_epoch=00000076_step=000000100000-EMA.ckpt,train_v1,eval_v1
baseline_128_bs80_step100k,100000,6,1.0,inverse_folding,linear,5000,1237,,,,,,,,,,,,,,0.1086287796497345,0.040259279115211585,112484,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128_bs80/checkpoints/chk_epoch=00000076_step=000000100000-EMA.ckpt,train_v1,eval_v1
baseline_128_bs80_step100k,100000,6,1.0,dihedral,linear,5000,1237,,,,,,,,,,,,,,,,,32.835479736328125,46.89787292480469,39.866676330566406,112484,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128_bs80/checkpoints/chk_epoch=00000076_step=000000100000-EMA.ckpt,train_v1,eval_v1
baseline_128_bs80_step100k,100000,7,1.0,cath,,5000,1237,,,,,C,0.802660753880266,0.6214247340118835,0.887264550244276,5,1881,451,451,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128_bs80/checkpoints/chk_epoch=00000076_step=000000100000-EMA.ckpt,train_v1,eval_v1
baseline_128_bs80_step100k,100000,7,1.0,cath,,5000,1237,,,,,A,0.516629711751663,0.27765117423373536,0.6075214910904373,21,1879,451,451,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128_bs80/checkpoints/chk_epoch=00000076_step=000000100000-EMA.ckpt,train_v1,eval_v1
baseline_128_bs80_step100k,100000,7,1.0,cath,,5000,1237,,,,,T,0.4,0.24852349361231285,0.49039253862098603,116,1721,451,405,46,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128_bs80/checkpoints/chk_epoch=00000076_step=000000100000-EMA.ckpt,train_v1,eval_v1
